Cliente	Documento	Email	Fone	Cidade	Bairro
					
Churrascaria Dom Gaucho Ltda - ME	06.194.145/0001-57	churrascariadomgaucho@yahoo.com.br	3433510488	Arcos	Vila Calcita
Sepco1 Construções do Brasil Ltda	14.139.738/0006-53	leonardo@sepco1.com	31996151864	Arcos	Retiro São Jose
Conselho Regional de Engenharia e Agrononia de Minas Gerais SG	17.254.509/0001-63	carina.rodrigues@crea-mg.org.br	3436713425	Belo Horizonte	Santo Agostinho
Construtora Apia LTDA	17.155.391/0001-16	bianca.furtado@grupoapia.com.br	00000000000	Belo Horizonte	Pilar
Construtora Remo Ltda	18.225.557/0001-96	jonas.diogo@remo.com.br	3195513721	Belo Horizonte	São Lucas
Selt Engenharia Ltda	19.187.475/0001-67	leandro.uchoa@selt.com.br	3197328066	Belo Horizonte	Estoril
Tectrans Transmissão de Energia Ltda RP	09.461.052/0001-30	nilsonpedro@tectrans.net.br	34992221076	Belo Horizonte	Funcionários
OliveiraVale Serviços em Telecomunicações Ltda.	15.659.848/0001-02	joselma@oliveiravale.com.br	35991411978	Cachoeira de Minas	Santa Barbara
Anderson Cesar Cyrino -ME/ GF	24.491.724/0001-43	cyrinotransportes@hotmail.com	3436713274	Campos Altos	Agrovila
Casa de Carnes JBM L.T.D.A GF	18.052.402/0001-03	teste@teste.com.br	3499550737	Campos Altos	Guarda dos Ferreiros
Cooperativa de Crédito da Microrregiao do Alto Paranaiba Ltda GF	03.645.752/0002-89	suporte@sicoobcredisg.com.br	3436161500	Campos Altos	Guarda dos Ferreiros
Creche Lar da Criança Divina Lucas da Silva	26.035.527/0001-45	teste@teste.com.br	34000000000	Campos Altos	Centro
Dezio Auto Peças GF	04.677.793/0001-39	lucas.braim@hotmail.com	3400000000	Campos Altos	Zona Rural
Drogarabello Ltda - ME GF	05.727.071/0001-04	farmaxsg@hotmail.com	3499812417	Campos Altos	Guarda dos Ferreiros
Drogaria Araújo e Rabello Ltda - ME GF	10.624.688/0001-34	drogariamartins2012@hotmail.com	3400000000	Campos Altos	Guarda dos Ferreiros
Eneias Ribeiro GF	17.844.528/0001-40	teste@teste.com.br	3499285886	Campos Altos	Distrito Industrial
Impacto Maquinas Agricolas LTDA GF	14.791.163/0001-44	impactomaquinas_wc@hotmail.com	3499069927	Campos Altos	Guarda dos Ferreiros
Industria e Com.de Madeira Tabua Mineira Ltda  SG	13.771.453/0001-63	madeira3m@hotmail.com	34000000000	Campos Altos	Guarda dos Ferreiros
Infotec (PERMUTA)	12.051.789/0001-99	teste@teste.com.br	34000000000	Campos Altos	Centro
Juliana Helena da Silva GF	19.196.173/0001-55	teste@teste.com.br	34999221901	Campos Altos	Guarda dos Ferreiros
Mitra Diocesana de Patos de Minas/Paroquia de Santa Cruz GF	17.832.866/0046-63	teste@teste.com.br	3499477212	Campos Altos	Guarda dos Ferreiros
Recanto da Estrada	11.627.062/0001-44	teste@teste.com.br	34000000000	Campos Altos	Centro
Rede HG Combustiveis LTDA	13.569.064/0038-41	postoestalagem@redehg.com.br	37988703561	Campos Altos	Cachoeirinha
Sociedade Clube Fazenda GF	01.459.992/0001-82	clube.eldorado@outlook.com	3499047239	Campos Altos	Centro
Souza e Franklin Eldorado LTDA GF	18.672.680/0001-55	teste@teste.com.br	3400000000	Campos Altos	Guarda dos Ferreiros
Associação Amigos do Meio Ambiente Carmo Paranaiba	10.710.836/0001-33	ongguaracp@outlook.com	34999610163	Carmo do Paranaíba	JK
Boutique Bem Dita Ltda Me	07.708.505/0001-54	bemditaboutique@hotmail.com	3438514625	Carmo do Paranaíba	Centro
Caixa Escolar Leoncio Ferreira de Melo	19.923.184/0001-90	escola.305341@educacao.mg.gov.br	3491252722	Carmo do Paranaíba	JK
Caixa Escolar Leoncio Ferreira de Melo	19.923.184/0001-90	escola.305341@educacao.mg.gov.br	3438512148	Carmo do Paranaíba	Centro
Caixa Escolar Sizenando Amaral	22.231.435/0001-80	escola.118541@educacao.mg.gov.br	3438511555	Carmo do Paranaíba	Lagoinha
Caixa Escolar São Geraldo	19.923.564/0001-24	escola.118494@educacao.mg.gov.br	3499792274	Carmo do Paranaíba	JK
Caixa Escolar São Geraldo CP (Fim de contrato)	19.923.564/0001-24	escola.118494@educacao.mg.gov.br	34999772274	Carmo do Paranaíba	Centro
Caixa Escolar do Bairro Niteroi	19.923.549/0001-86	escola.118443@educacao.mg.gov.br	3438510899	Carmo do Paranaíba	JK
Caixa Escolar do Bairro Niteroi	19.923.549/0001-86	escola.118443@educacao.mg.gov.br	34000000000	Carmo do Paranaíba	JK
Carmo Farma Ltda	17.830.712/0001-30	farmaciatriangulo@hotmail.com	3438510888	Carmo do Paranaíba	Centro
Casa de Repouso Nossa Sra da Guia	04.957.280/0001-81	geraldocamargos@hotmail.com	3438510865	Carmo do Paranaíba	Alvorada
Catedral das Assembleias de Deus em Carmo do Paranaiba	17.831.124/0001-11	joserobertodedeus@hotmail.com	34999916307	Carmo do Paranaíba	Village Veth
Centro Comunitário Santa Cruz - Cantinho da Sagrada Face de Jesus	02.221.819/0001-04	pnscarmomg@gmail.com	34999613369	Carmo do Paranaíba	Santa Cruz
Cetel Energy Ltda Epp	86.666.682/0001-91	financeiro@cetelenergy.com.br	3438512223	Carmo do Paranaíba	JK
Conselho Comunitário de Segurança Preventiva de Carmo do Paranaíba CP	05.828.639/0001-83	conteustaquio@hotmail.com	3438511491	Carmo do Paranaíba	Centro
Cooperativa Agropecuária de Carmo do Paranaíba Ltda	19.445.733/0001-68	nelson@carpec.com.br	3438517210	Carmo do Paranaíba	JK
Cooperativa dos Cafeicultores do Cerrado da Região de Carmo do Paranaiba Ltda	04.773.010/0001-10	contato@carmocer.com.br	3438513206	Carmo do Paranaíba	Paraíso
Funeraria Guimaraes Ltda	04.444.062/0001-43	adecborges@hotmail.com	34996981059	Carmo do Paranaíba	Novo Paraíso
Igreja Presbiteriana Nova Vida CP (cancelou)	08.242.947/0001-10	niltonsouza12@hotmail.com	34996993043	Carmo do Paranaíba	Paranaíba
Instituto de Previdencia Servidores Municipais C. do Paranaiba	08.048.170/0001-58	ipsem@ipsem.mg.gov.br	34999974488	Carmo do Paranaíba	Centro
Mauro e Ana Drogaria Ltda Me CP	17.578.909/0001-24	americanacp@yahoo.com.br	3438518600	Carmo do Paranaíba	JB
Petrocarmo Ltda	18.160.622/0001-42	contato@postopetrocarmo.com.br	3438517373	Carmo do Paranaíba	Amazonas
Ponte de Terra Tenis Clube	19.447.200/0001-15	pontedeterra@hotmail.com	3438512116	Carmo do Paranaíba	Lagoinha
Posto Recreio Ltda	19.051.135/0001-04	postorecreio@postorecreio.com.br	34999618684	Carmo do Paranaíba	Zona Rural
Racoes Vovo Teobalda Ltda	09.589.942/0001-21	racoesteobalda@hotmail.com	3438510755	Carmo do Paranaíba	Morro Grande
Radio Integração de Carmo do Paranaiba Ltda-ME	20.258.372/0001-20	joserobertodedeus@hotmail.com	34999916307	Carmo do Paranaíba	Centro
Regional Rental e Armazens Gerais Eireli - ME	26.237.459/0001-05	financeiroloc@regionalparafusos.com.br	3438512117	Carmo do Paranaíba	Amazonas
Sim Soluc. Inte. em Marketing Eireli Me	07.583.914/0001-71	pettersonc@hotmail.com	3438515007	Carmo do Paranaíba	Paranaíba
Sindicato dos Produtores Rurais de Carmo do Paranaiba	17.830.126/0001-96	Sem EMAIL	34038512320	Carmo do Paranaíba	Lagoinha
Sindicato dos Produtores Rurais de Carmo do Paranaíba	17.830.126/0001-96	sind.rural@yahoo.com.br	3438512320	Carmo do Paranaíba	Lagoinha
Supermercado BH Comer. de Alimentos Ltda	04.641.376/0201-61	hudson@supermercadosbh.com.br	31992227808	Carmo do Paranaíba	JK
Tornotec Ltda CP -	20.725.750/0001-38	tornocecltda@hotmail.com	3438512137	Carmo do Paranaíba	JK
Triunfo Mireracao do Brasil Ltda	09.018.272/0002-74	mmadalena@kpfertil.net.br	3438512210	Carmo do Paranaíba	Zona Rural
Firelink Telecomunicações	12.868.281/0001-88	teste@teste.com.br	00000000000	Caruaru	Polo Caruaru
Ceitel Metais Ltda - ME	23.872.521/0001-34	Sem EMAIL	3125240777	Contagem	Vila Paris
Superintendência de Polícia Rodoviária Federal em Minas Gerais (cancelou)	00.394.494/0110-90	nutel.mg@prf.gov.br	3130645351	Contagem	Cidade Industrial
Tecidos e Armarinhos Miguel Bartolomeu S.A.	17.359.233/0001-88	Sem EMAIL	3133590000	Contagem	Tapera
Multilaser Industrial S. A.	59.717.553/0006-17	Sem EMAIL	3534357500	Extrema	Dos Pires
