[+] 179.189.86.22:10001 Ubiquiti Discovery metadata: {"ips"=>["10.0.0.1", "179.189.86.22"], "macs"=>["80:2a:a8:ec:9:dc", "80:2a:a8:ed:9:dc"], "name"=>"AirGrid M5 HP", "model_short"=>"AG5-HP", "essid"=>"Gold-Detran", "firmware"=>"XW.ar934x.v5.6.2.27929.150716.1149", "model_long"=>"AirGrid M5 HP"}
[+] 179.189.87.137:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.87.137", "192.168.1.1"], "macs"=>["fc:ec:da:92:67:da", "fc:ec:da:93:67:da"], "name"=>"ALHO SUPREMA", "model_short"=>"LB5", "essid"=>"GoldNetP101", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.85.125:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.85.125", "192.168.1.1"], "macs"=>["80:2a:a8:3e:86:2b", "80:2a:a8:3f:86:2b"], "name"=>"AirGrid M5 HP", "model_short"=>"AG5-HP", "essid"=>"FazendaSantana", "firmware"=>"XW.ar934x.v6.0.30097.161219.1705", "model_long"=>"AirGrid M5 HP"}
[+] 179.189.87.205:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.87.205", "192.168.1.1"], "macs"=>["80:2a:a8:c:86:c6", "80:2a:a8:d:86:c6"], "name"=>"AirGrid M5 HP", "model_short"=>"AG5-HP", "essid"=>"Gold-Zedovale2", "firmware"=>"XW.ar934x.v6.0.30097.161219.1705", "model_long"=>"AirGrid M5 HP"}
[+] 179.189.86.194:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.86.194", "192.168.1.1"], "macs"=>["fc:ec:da:ca:9b:f5", "fc:ec:da:cb:9b:f5"], "name"=>"Jo\xC3\xA3o Batista Ferreira", "model_short"=>"LB5", "essid"=>"Gold-Faz", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.87.245:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.87.245", "192.168.1.1"], "macs"=>["44:d9:e7:6c:f0:b9", "44:d9:e7:6d:f0:b9"], "name"=>"LiteBeam M5", "model_short"=>"LB5", "essid"=>"Link-Marcelo", "firmware"=>"XW.ar934x.v5.6.5.29033.160515.2108", "model_long"=>"LiteBeam M5"}
[*] Scanned 1024 of 1024 hosts (100% complete)
[*] Auxiliary module execution completed
[+] 179.189.92.115:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.92.115", "192.168.0.1"], "macs"=>["fc:ec:da:52:87:68", "fc:ec:da:53:87:68"], "name"=>"Litebeam - Kleber Ara\xC3\xBAjo", "model_short"=>"LB5", "essid"=>"Eloim15_GoldNet", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.93.108:10001 Ubiquiti Discovery metadata: {"ips"=>["10.1.1.1", "179.189.93.108"], "macs"=>["78:8a:20:3e:c0:42", "78:8a:20:3f:c0:42"], "name"=>"Escola", "model_short"=>"LB5", "essid"=>"GoldNetP2", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
[+] 179.189.93.113:10001 Ubiquiti Discovery metadata: {"ips"=>["179.189.93.113", "192.168.0.254"], "macs"=>["fc:ec:da:98:15:95", "fc:ec:da:99:15:95"], "name"=>"Ricardolagares", "model_short"=>"LB5", "essid"=>"GNFAZ", "firmware"=>"XW.ar934x.v5.6.11.29745.160930.1526", "model_long"=>"LiteBeam M5"}
