IP	Protocol	Port	Service
179.189.84.1	tcp	179	bgp
179.189.84.1	tcp	2000	cisco-sccp
179.189.84.1	tcp	8081	tproxy
179.189.84.1	tcp	8291	
179.189.84.10	tcp	179	bgp
179.189.84.10	tcp	2000	cisco-sccp
179.189.84.10	tcp	8081	tproxy
179.189.84.10	tcp	8291	
179.189.84.100	tcp	179	bgp
179.189.84.100	tcp	2000	cisco-sccp
179.189.84.100	tcp	8081	tproxy
179.189.84.100	tcp	8291	
179.189.84.101	tcp	179	bgp
179.189.84.101	tcp	2000	cisco-sccp
179.189.84.101	tcp	8081	tproxy
179.189.84.101	tcp	8291	
179.189.84.102	tcp	443	https
179.189.84.102	tcp	49153	
179.189.84.102	tcp	80	http
179.189.84.102	tcp	8000	
179.189.84.103	tcp	80	http
179.189.84.104	tcp	2442	
179.189.84.105	tcp	179	bgp
179.189.84.105	tcp	2000	cisco-sccp
179.189.84.105	tcp	8081	tproxy
179.189.84.105	tcp	8291	
179.189.84.106	tcp	4433	
179.189.84.106	tcp	80	http
179.189.84.107	tcp	37777	
179.189.84.107	tcp	49152	
179.189.84.107	tcp	554	rtsp
179.189.84.107	tcp	8081	tproxy
179.189.84.107	tcp	8686	
179.189.84.108	tcp	80	http
179.189.84.11	tcp	179	bgp
179.189.84.11	tcp	2000	cisco-sccp
179.189.84.11	tcp	8081	tproxy
179.189.84.11	tcp	8291	
179.189.84.110	tcp	30960	
179.189.84.110	tcp	32302	
179.189.84.110	tcp	46700	
179.189.84.110	tcp	49152	
179.189.84.110	tcp	554	rtsp
179.189.84.110	tcp	57041	
179.189.84.110	tcp	80	http
179.189.84.110	tcp	8000	
179.189.84.112	tcp	30960	
179.189.84.112	tcp	53000	
179.189.84.112	tcp	554	rtsp
179.189.84.112	tcp	7000	afs3-fileserver
179.189.84.112	tcp	80	http
179.189.84.112	tcp	8000	
179.189.84.112	tcp	880	
179.189.84.113	tcp	36049	
179.189.84.113	tcp	42284	
179.189.84.113	tcp	554	rtsp
179.189.84.113	tcp	58695	
179.189.84.113	tcp	80	http
179.189.84.113	tcp	8000	
179.189.84.113	tcp	9010	
179.189.84.113	tcp	9020	
179.189.84.114	tcp	3389	
