Status	IP Address	Reason
SAFE	179.189.86.129	CredSSP/NLA required
SAFE	179.189.95.202	CredSSP/NLA required
SAFE	179.189.84.152	CredSSP/NLA required
SAFE	179.189.87.201	CredSSP/NLA required
SAFE	179.189.87.99	CredSSP/NLA required
SAFE	179.189.87.106	CredSSP/NLA required
SAFE	179.189.87.140	CredSSP/NLA required
SAFE	179.189.86.106	CredSSP/NLA required
SAFE	179.189.84.104	CredSSP/NLA required
SAFE	179.189.85.33	CredSSP/NLA required
SAFE	179.189.86.252	CredSSP/NLA required
SAFE	179.189.86.184	CredSSP/NLA required
SAFE	179.189.84.244	CredSSP/NLA required
SAFE	179.189.92.104	CredSSP/NLA required
SAFE	179.189.84.55	CredSSP/NLA required
SAFE	179.189.86.153	CredSSP/NLA required
SAFE	179.189.87.245	CredSSP/NLA required
SAFE	179.189.87.209	CredSSP/NLA required
SAFE	179.189.86.32	CredSSP/NLA required
SAFE	179.189.86.244	CredSSP/NLA required
SAFE	179.189.87.151	CredSSP/NLA required
SAFE	179.189.86.246	CredSSP/NLA required
SAFE	179.189.85.41	CredSSP/NLA required
SAFE	179.189.87.120	CredSSP/NLA required
SAFE	179.189.87.212	CredSSP/NLA required
SAFE	179.189.87.155	CredSSP/NLA required
SAFE	179.189.84.26	CredSSP/NLA required
SAFE	179.189.95.176	CredSSP/NLA required
SAFE	179.189.87.137	Target appears patched
SAFE	179.189.84.57	Target appears patched
SAFE	179.189.84.129	Target appears patched
SAFE	179.189.95.185	Target appears patched
SAFE	179.189.86.248	Target appears patched
SAFE	179.189.86.142	Target appears patched
SAFE	179.189.86.79	Target appears patched
VULNERABLE	179.189.87.239	got appid
VULNERABLE	179.189.86.237	got appid
VULNERABLE	179.189.84.249	got appid
VULNERABLE	179.189.84.159	got appid
VULNERABLE	179.189.84.135	got appid
VULNERABLE	179.189.86.101	got appid
VULNERABLE	179.189.86.104	got appid
VULNERABLE	179.189.86.19	got appid
VULNERABLE	179.189.86.107	got appid
VULNERABLE	179.189.95.180	got appid
VULNERABLE	179.189.86.28	got appid
VULNERABLE	179.189.86.14	got appid
VULNERABLE	179.189.84.31	got appid
VULNERABLE	179.189.84.39	got appid
